#format table ## [Custom WaveView] saved 15:31:06 Mon Apr 29 2024
XVAL ,v(/A) ,v(/B) ,v(/C) ,v(/D) ,v(/out) 
 3.043E-08 , 3.820E-05 , 1.800E+00 , 1.800E+00 ,-1.952E-06 , 1.800E+00 
 3.047E-08 , 2.650E-05 , 1.800E+00 , 1.800E+00 ,-2.293E-06 , 1.800E+00 
 3.054E-08 , 1.504E-05 , 1.800E+00 , 1.800E+00 ,-2.250E-06 , 1.800E+00 
 3.067E-08 , 1.306E-06 , 1.800E+00 , 1.800E+00 ,-2.173E-06 , 1.800E+00 
 3.088E-08 ,-1.125E-06 , 1.800E+00 , 1.800E+00 ,-2.044E-06 , 1.800E+00 
 3.131E-08 , 6.323E-07 , 1.800E+00 , 1.800E+00 ,-1.980E-06 , 1.800E+00 
 3.215E-08 , 4.036E-07 , 1.800E+00 , 1.800E+00 ,-1.853E-06 , 1.800E+00 
 3.384E-08 ,-5.364E-08 , 1.800E+00 , 1.800E+00 ,-1.598E-06 , 1.800E+00 
 3.520E-08 ,-3.279E-08 , 1.800E+00 , 1.800E+00 ,-1.394E-06 , 1.800E+00 
 3.521E-08 , 7.537E-02 , 1.801E+00 , 1.800E+00 , 6.348E-08 , 1.800E+00 
 3.521E-08 , 1.736E-01 , 1.801E+00 , 1.800E+00 , 2.345E-07 , 1.800E+00 
 3.522E-08 , 2.849E-01 , 1.801E+00 , 1.800E+00 ,-6.556E-07 , 1.800E+00 
 3.523E-08 , 4.722E-01 , 1.801E+00 , 1.800E+00 ,-2.091E-06 , 1.800E+00 
 3.524E-08 , 6.469E-01 , 1.801E+00 , 1.800E+00 ,-2.066E-06 , 1.800E+00 
 3.525E-08 , 8.597E-01 , 1.801E+00 , 1.800E+00 ,-2.034E-06 , 1.800E+00 
 3.528E-08 , 1.292E+00 , 1.802E+00 , 1.800E+00 ,-1.972E-06 , 1.800E+00 
 3.529E-08 , 1.589E+00 , 1.801E+00 , 1.800E+00 ,-1.929E-06 , 1.800E+00 
 3.530E-08 , 1.746E+00 , 1.801E+00 , 1.800E+00 ,-1.906E-06 , 1.800E+00 
 3.530E-08 , 1.775E+00 , 1.801E+00 , 1.800E+00 ,-3.190E-06 , 1.800E+00 
 3.531E-08 , 1.791E+00 , 1.800E+00 , 1.800E+00 ,-4.474E-06 , 1.800E+00 
 3.531E-08 , 1.799E+00 , 1.800E+00 , 1.800E+00 ,-3.913E-06 , 1.800E+00 
 3.532E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.708E-06 , 1.800E+00 
 3.533E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 7.236E-07 , 1.800E+00 
 3.533E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 8.897E-07 , 1.800E+00 
 3.535E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-6.008E-07 , 1.800E+00 
 3.539E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.941E-06 , 1.800E+00 
 3.545E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.590E-06 , 1.800E+00 
 3.556E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-9.955E-07 , 1.800E+00 
 3.577E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.116E-06 , 1.800E+00 
 3.618E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.356E-06 , 1.800E+00 
 3.702E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.283E-06 , 1.800E+00 
 3.869E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.138E-06 , 1.800E+00 
 4.020E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.006E-06 , 1.800E+00 
 4.021E-08 , 1.738E+00 , 1.737E+00 , 1.738E+00 , 6.380E-02 , 1.800E+00 
 4.021E-08 , 1.657E+00 , 1.655E+00 , 1.657E+00 , 1.464E-01 , 1.800E+00 
 4.022E-08 , 1.559E+00 , 1.556E+00 , 1.559E+00 , 2.453E-01 , 1.800E+00 
 4.022E-08 , 1.406E+00 , 1.403E+00 , 1.406E+00 , 3.993E-01 , 1.800E+00 
 4.023E-08 , 1.254E+00 , 1.251E+00 , 1.255E+00 , 5.516E-01 , 1.800E+00 
